ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy
NanSang-2_moon-1,,NanSang,2_moon,pakjəː,pakjəː,p a + k j əː,,Deepadung2015,,,,,1152 1151
NamHsan-3_star-1,,NamHsan,3_star,samɛŋ,samɛŋ,s a + m ɛ ŋ,,Deepadung2015,,,,,1813 1814
KhunHawt-3_star-1,,KhunHawt,3_star,sәmeɲ,sәmeɲ,s ə + m e ɲ,,Deepadung2015,,,,,1813 1814
HtanHsan-3_star-1,,HtanHsan,3_star,sameɲ,sameɲ,s a + m e ɲ,,Deepadung2015,,,,,1813 1814
PangKham-3_star-1,,PangKham,3_star,plaːŋ,plaːŋ,p l aː ŋ,,Deepadung2015,,,,,1817
ManLoi-3_star-1,,ManLoi,3_star,plaːŋ,plaːŋ,p l aː ŋ,,Deepadung2015,,,,,1817
MengDan-3_star-1,,MengDan,3_star,kəman,kəman,k ə + m a n,,Deepadung2015,,,,,175 1814
ChuDongGua-3_star-1,,ChuDongGua,3_star,səmaɲ,səmaɲ,s ə + m a ɲ,,Deepadung2015,,,,,1813 1814
XiangZhaiTang-3_star-1,,XiangZhaiTang,3_star,samɛɲ,samɛɲ,s a + m ɛ ɲ,,Deepadung2015,,,,,1813 1814
PongNuea-3_star-1,,PongNuea,3_star,samaɲ,samaɲ,s a + m a ɲ,,Deepadung2015,,,,,1813 1814
NyaungGone-3_star-1,,NyaungGone,3_star,samăn,samăn,s a + m ă n,,Deepadung2015,,,,,1813 1814
NoeLae-3_star-1,,NoeLae,3_star,samăɲ,samăɲ,s a + m ă ɲ,,Deepadung2015,,,,,1813 1814
BanPaw-3_star-1,,BanPaw,3_star,samăn,samăn,s a + m ă n,,Deepadung2015,,,,,1563 1814
ChaYeQing-3_star-1,,ChaYeQing,3_star,khaman,khaman,kʰ a + m a n,,Deepadung2015,,,,,1322 1814
GuangKa-3_star-1,,GuangKa,3_star,laːw,laːw,l aːu̯,,Deepadung2015,,,,,1816
MangBang-3_star-1,,MangBang,3_star,laːw,laːw,l aːu̯,,Deepadung2015,,,,,1816
NanSang-3_star-1,,NanSang,3_star,laːw,laːw,l aːu̯,,Deepadung2015,,,,,1816
NamHsan-4_cloud-1,,NamHsan,4_cloud,Ɂuːt,Ɂuːt,ʔ uː t,,Deepadung2015,,,,,241
KhunHawt-4_cloud-1,,KhunHawt,4_cloud,Ɂuːt,Ɂuːt,ʔ uː t,,Deepadung2015,,,,,241
HtanHsan-4_cloud-1,,HtanHsan,4_cloud,ɁuːɁ,ɁuːɁ,ʔ uː ʔ,,Deepadung2015,,,,,241
PangKham-4_cloud-1,,PangKham,4_cloud,ɁaɁuːt,ɁaɁuːt,ʔ a + ʔ uː t,,Deepadung2015,,,,,245 241
ManLoi-4_cloud-1,,ManLoi,4_cloud,ɁaɁut,ɁaɁut,ʔ a + ʔ u t,,Deepadung2015,,,,,244 241
MengDan-4_cloud-1,,MengDan,4_cloud,ʔuːt,ʔuːt,ʔ uː t,,Deepadung2015,,,,,241
ChuDongGua-4_cloud-1,,ChuDongGua,4_cloud,kɨʔuːt,kɨʔuːt,k ɨ + ʔ uː t,,Deepadung2015,,,,,242 241
XiangZhaiTang-4_cloud-1,,XiangZhaiTang,4_cloud,ŋɁuɁ,ŋɁuɁ,Ø/ə ŋ + ʔ u ʔ,,Deepadung2015,,,,,240 241
PongNuea-4_cloud-1,,PongNuea,4_cloud,ŋɁuɁ,ŋɁuɁ,Ø/ə ŋ + ʔ u ʔ,,Deepadung2015,,,,,240 241
NyaungGone-4_cloud-1,,NyaungGone,4_cloud,ŋ ʔuʔ,ŋ ʔuʔ,Ø/ə ŋ + ʔ u ʔ,,Deepadung2015,,,,,240 241
NoeLae-4_cloud-1,,NoeLae,4_cloud,ŋ Ɂu,ŋ Ɂu,Ø/ə ŋ + ʔ u,,Deepadung2015,,,,,240 241
BanPaw-4_cloud-1,,BanPaw,4_cloud,ŋ ɁuɁ,ŋ ɁuɁ,Ø/ə ŋ + ʔ u ʔ,,Deepadung2015,,,,,1218 241
ChaYeQing-4_cloud-1,,ChaYeQing,4_cloud,ŋɁuːɁ,ŋɁuːɁ,Ø/ə ŋ + ʔ uː ʔ,,Deepadung2015,,,,,240 241
GuangKa-4_cloud-1,,GuangKa,4_cloud,ɁoŋɁuːɁ,ɁoŋɁuːɁ,ʔ o ŋ + ʔ uː ʔ,,Deepadung2015,,,,,243 241
MangBang-4_cloud-1,,MangBang,4_cloud,ŋɁuɁ,ŋɁuɁ,Ø/ə ŋ + ʔ u ʔ,,Deepadung2015,,,,,240 241
NanSang-4_cloud-1,,NanSang,4_cloud,ŋɁuːɁ,ŋɁuːɁ,Ø/ə ŋ + ʔ uː ʔ,,Deepadung2015,,,,,240 241
NamHsan-5_rain-1,,NamHsan,5_rain,ʨuŋ,ʨuŋ,tɕ u ŋ,,Deepadung2015,,,,,1460
KhunHawt-5_rain-1,,KhunHawt,5_rain,ʥoŋ,ʥoŋ,dʑ o ŋ,,Deepadung2015,,,,,1460
HtanHsan-5_rain-1,,HtanHsan,5_rain,ʥuːŋ,ʥuːŋ,dʑ uː ŋ,,Deepadung2015,,,,,1460
PangKham-5_rain-1,,PangKham,5_rain,ɡlaːj,ɡlaːj,g l aːi̯,,Deepadung2015,,,,,1459
ManLoi-5_rain-1,,ManLoi,5_rain,ɡlaːj,ɡlaːj,g l aːi̯,,Deepadung2015,,,,,1459
MengDan-5_rain-1,,MengDan,5_rain,ɡlaːj,ɡlaːj,g l aːi̯,,Deepadung2015,,,,,1459
ChuDongGua-5_rain-1,,ChuDongGua,5_rain,klaj,klaj,k l ai̯,,Deepadung2015,,,,,1459
XiangZhaiTang-5_rain-1,,XiangZhaiTang,5_rain,ɡlaːj,ɡlaːj,g l aːi̯,,Deepadung2015,,,,,1459
PongNuea-5_rain-1,,PongNuea,5_rain,ɡlaːj,ɡlaːj,g l aːi̯,,Deepadung2015,,,,,1459
NyaungGone-5_rain-1,,NyaungGone,5_rain,ɡlaj,ɡlaj,g l ai̯,,Deepadung2015,,,,,1459
NoeLae-5_rain-1,,NoeLae,5_rain,ɡlaj,ɡlaj,g l ai̯,,Deepadung2015,,,,,1459
BanPaw-5_rain-1,,BanPaw,5_rain,ɡlaj,ɡlaj,g l ai̯,,Deepadung2015,,,,,1459
ChaYeQing-5_rain-1,,ChaYeQing,5_rain,ɡlaːj,ɡlaːj,g l aːi̯,,Deepadung2015,,,,,1459
GuangKa-5_rain-1,,GuangKa,5_rain,klaːj,klaːj,k l aːi̯,,Deepadung2015,,,,,1459
MangBang-5_rain-1,,MangBang,5_rain,klaːj,klaːj,k l aːi̯,,Deepadung2015,,,,,1459
NanSang-5_rain-1,,NanSang,5_rain,klaːj,klaːj,k l aːi̯,,Deepadung2015,,,,,1459
NamHsan-6_wind-1,,NamHsan,6_wind,khuːr,khuːr,kʰ uː r,,Deepadung2015,,,,,2163
KhunHawt-6_wind-1,,KhunHawt,6_wind,khuːr,khuːr,kʰ uː r,,Deepadung2015,,,,,2163
HtanHsan-6_wind-1,,HtanHsan,6_wind,khuːr,khuːr,kʰ uː r,,Deepadung2015,,,,,2163
PangKham-6_wind-1,,PangKham,6_wind,khuːn,khuːn,kʰ uː n,,Deepadung2015,,,,,2163
