ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ManLoi-5_rain-1-1,ManLoi-5_rain-1,ɡlaːj,2-5,false,expert,Deepadung2015,,,
MengDan-5_rain-1-1,MengDan-5_rain-1,ɡlaːj,2-5,false,expert,Deepadung2015,,,
ChuDongGua-5_rain-1-1,ChuDongGua-5_rain-1,klaj,2-5,false,expert,Deepadung2015,,,
XiangZhaiTang-5_rain-1-1,XiangZhaiTang-5_rain-1,ɡlaːj,2-5,false,expert,Deepadung2015,,,
PongNuea-5_rain-1-1,PongNuea-5_rain-1,ɡlaːj,2-5,false,expert,Deepadung2015,,,
NyaungGone-5_rain-1-1,NyaungGone-5_rain-1,ɡlaj,2-5,false,expert,Deepadung2015,,,
NoeLae-5_rain-1-1,NoeLae-5_rain-1,ɡlaj,2-5,false,expert,Deepadung2015,,,
BanPaw-5_rain-1-1,BanPaw-5_rain-1,ɡlaj,2-5,false,expert,Deepadung2015,,,
ChaYeQing-5_rain-1-1,ChaYeQing-5_rain-1,ɡlaːj,2-5,false,expert,Deepadung2015,,,
GuangKa-5_rain-1-1,GuangKa-5_rain-1,klaːj,2-5,false,expert,Deepadung2015,,,
MangBang-5_rain-1-1,MangBang-5_rain-1,klaːj,2-5,false,expert,Deepadung2015,,,
NanSang-5_rain-1-1,NanSang-5_rain-1,klaːj,2-5,false,expert,Deepadung2015,,,
NamHsan-6_wind-1-1,NamHsan-6_wind-1,khuːr,1-6,false,expert,Deepadung2015,,,
KhunHawt-6_wind-1-1,KhunHawt-6_wind-1,khuːr,1-6,false,expert,Deepadung2015,,,
HtanHsan-6_wind-1-1,HtanHsan-6_wind-1,khuːr,1-6,false,expert,Deepadung2015,,,
PangKham-6_wind-1-1,PangKham-6_wind-1,khuːn,1-6,false,expert,Deepadung2015,,,
ManLoi-6_wind-1-1,ManLoi-6_wind-1,khuː,2-6,false,expert,Deepadung2015,,,
MengDan-6_wind-1-1,MengDan-6_wind-1,khuːr,1-6,false,expert,Deepadung2015,,,
ChuDongGua-6_wind-1-1,ChuDongGua-6_wind-1,khuːr,1-6,false,expert,Deepadung2015,,,
XiangZhaiTang-6_wind-1-1,XiangZhaiTang-6_wind-1,khuːn,1-6,false,expert,Deepadung2015,,,
PongNuea-6_wind-1-1,PongNuea-6_wind-1,khuːn,1-6,false,expert,Deepadung2015,,,
NyaungGone-6_wind-1-1,NyaungGone-6_wind-1,khun,1-6,false,expert,Deepadung2015,,,
NoeLae-6_wind-1-1,NoeLae-6_wind-1,khun,1-6,false,expert,Deepadung2015,,,
BanPaw-6_wind-1-1,BanPaw-6_wind-1,khun,1-6,false,expert,Deepadung2015,,,
ChaYeQing-6_wind-1-1,ChaYeQing-6_wind-1,khuː,2-6,false,expert,Deepadung2015,,,
GuangKa-6_wind-1-1,GuangKa-6_wind-1,khuː,2-6,false,expert,Deepadung2015,,,
MangBang-6_wind-1-1,MangBang-6_wind-1,khuː,2-6,false,expert,Deepadung2015,,,
NanSang-6_wind-1-1,NanSang-6_wind-1,khuː,2-6,false,expert,Deepadung2015,,,
NamHsan-7_night-1-1,NamHsan-7_night-1,ram̥әɯ,1-7,false,expert,Deepadung2015,,,
KhunHawt-7_night-1-1,KhunHawt-7_night-1,lapm̥әː,1-7,false,expert,Deepadung2015,,,
